id,file,name,year,doi,transmission_1,transmission_2,disease,stochasticity,model_1,model_2,model_3,behavior_1,behavior_2,behavior_3
id_new_019,scholar_68,exploring scenarios of chikungunya mitigation with a data-driven agent-based model of the 2014–2016 outbreak in colombia,2018,10.1038/s41598-018-30647-8,vector,,chikungunya,stochastic,abm,,,control,movement,
id_new_020,scholar_69,exploring the effects of awareness and time delay in controlling malaria disease propagation,2020,10.1515/ijnsns-2019-0223,vector,,malaria,deterministic,dde,,,information,protection,
id_new_021,scholar_70,a spatial agent-based model to assess the spread of malaria in relation to anti-malaria interventions in southeast iran,2020,10.3390/ijgi9090549,vector,,malaria,stochastic,abm,,,control,,
id_new_022,scholar_71,an agent-based model of dengue virus transmission shows how uncertainty about breakthrough infections influences vaccination impact projections,2019,10.1371/journal.pcbi.1006710,vector,,dengue,stochastic,abm,,,vaccination,,
id_new_024,scholar_73,optimal strategy of vaccination and treatment in an sirs model with markovian switching,2018,10.1002/mma.5378,vector,,vector-borne,stochastic,markov,ode,,vaccination,treatment,
id_new_025,wofs_16,dynamics and optimal control of a stochastic zika virus model with spatial diffusion,2023,10.3934/mbe.2023778,vector,,zika,deterministic,pde,,,protection,control,treatement
id_new_026,wofs_17,the impact of human activity on the risk index and spatial spreading of dengue fever,2018,10.1016/j.nonrwa.2017.07.007,vector,,dengue,deterministic,pde,,,information,,
id_new_027,wofs_18,modeling zika transmission dynamics: prevention and control,2020,10.1142/s0218339020500138,vector,,zika,deterministic,ode,pde,,movement,,
id_new_028,wofs_19,dynamic analysis of a fractional-order model for vector-borne diseases on bipartite networks,2025,10.3390/fractalfract9110742,vector,,vector-borne,deterministic,fde,,,memory,,
id_new_029,wofs_22,"an agent-based model to simulate tsetse fly distribution and control techniques: a case study in nguruman, kenya",2015,10.1016/j.ecolmodel.2015.07.015,vector,,trypanosomiasis,stochastic,abm,,,control,,
id_new_030,wofs_23,an agent-based model to investigate behavior impacts on vector-borne disease spread,2017,10.5555/3242181.3242425,vector,,vector-borne,stochastic,abm,,,memory,,
id_new_031,sd_9,dynamics and modeling of malaria disease with vector mortality rate and host transmission by using piecewise fractional operator,2025,10.1016/j.padiff.2025.101309,vector,,malaria,deterministic,fde,,,control,protection,
id_new_032,sd_10,vaccination effect on the dynamics of dengue disease transmission models in nepal: a fractional derivative approach,2023,10.1016/j.padiff.2022.100476,vector,,dengue,deterministic,fde,,,vaccination,,
id_new_033,sd_11,fractal-fractional order dynamics and numerical simulations of a zika epidemic model with insecticide-treated nets,2022,10.1016/j.physa.2022.127809,vector,,zika,deterministic,fde,,,protection,,
id_new_034,sd_12,an agent-based model driven by tropical rainfall to understand the spatio-temporal heterogeneity of a chikungunya outbreak,2014,doi.org/10.1016/j.actatropica.2013.08.004,vector,,chikungunya,stochastic,abm,,,movement,,
id_new_035,sd_14,multi-agent modeling and simulation of an aedes aegypti mosquito population,2010,10.1016/j.envsoft.2010.04.021,vector,,vector-borne,stochastic,abm,,,,,
id_new_036,sd_15,seasonal variability and stochastic branching process in malaria outbreak probability,2024,10.1016/j.actatropica.2024.107311,vector,,malaria,stochastic,markov,,,control,,
id_new_037,sd_16,demographic heterogeneities in a stochastic chikungunya virus model with poisson random measures and near-optimal control under markovian regime switching,2025,10.32604/cmes.2025.071629,vector,,chikungunya,stochastic,markov,,,control,,
id_new_038,sd_17,"the effects of vaccination, vector controls and media on dengue transmission dynamics with a seasonally varying mosquito population",2022,10.1016/j.rinp.2022.105298,vector,,dengue,deterministic,ode,markov,,vaccination,control,information
